airline_name,icao,model_code,model_name,registration,lat,lng,alt
Aer Lingus,EIN,A21N,Airbus A321-253NX,EI-LRB,54.388412,-9.706179,34000
Aer Lingus,EIN,A21N,Airbus A321-253NX,EI-LRF,54.240829,-8.958644,31000
Aer Lingus,EIN,A21N,Airbus A321-253N,EI-LRE,30.788439,-14.056293,33200
Aer Lingus (Retro livery),EIN,A320,Airbus A320-214,EI-DVM,51.786072,-2.421223,32025
Aer Lingus Regional,EIN,AT76,ATR 72-600,EI-FAT,53.563843,-3.976187,15825
Aer Lingus,EIN,A320,Airbus A320-214,EI-CVC,53.407928,-6.523525,8675
Aer Lingus Regional,EIN,AT76,ATR 72-600,EI-HDH,53.748962,-6.231445,9775
Aer Lingus Regional,EIN,AT76,ATR 72-600,EI-GPO,54.396103,-7.115667,15000
Aer Lingus,EIN,A320,Airbus A320-214,EI-DVK,53.432449,-6.258653,0
Aer Lingus,EIN,A320,Airbus A320-214,EI-DES,53.421963,-6.238174,0
Aero K,EOK,A320,Airbus A320-214,HL8384,35.88065,132.499084,34025
Aero K,EOK,A320,Airbus A320-214,HL8386,34.989594,126.687927,28875
Aero Nomad,ANK,A320,Airbus A320-233,EX-32009,43.189064,70.787003,32975
Aero Sotravia,ASR,BE20,Beech B200 Super King Air,F-GJFA,26.517179,38.137032,18150
Aeroflot,AFL,B77W,Boeing 777-3M0(ER),RA-73150,47.125298,58.295357,36000
Aeroflot,AFL,B77W,Boeing 777-3M0(ER),RA-73135,58.786972,41.53204,36000
Aeroflot,AFL,A333,Airbus A330-343,RA-73782,45.15509,61.107983,38000
Aeroflot,AFL,B77W,Boeing 777-3M0(ER),RA-73136,48.057266,56.92511,36000
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73189,59.798893,30.25985,0
Aeroflot,AFL,A359,Airbus A350-941,RA-73154,48.261978,44.991196,41000
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73122,54.144604,39.068199,28000
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73123,26.315281,56.029324,20000
Aeroflot,AFL,B77W,Boeing 777-3M0(ER),RA-73144,62.316238,109.424034,35000
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73128,41.257107,28.736542,0
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73119,49.802128,43.705784,33000
Aeroflot,AFL,A21N,Airbus A321-251NX,RA-73704,55.954773,37.342045,8650
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73125,51.811665,42.242641,34000
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73094,46.220272,51.888634,37000
Aeroflot,AFL,B77W,Boeing 777-300(ER),RA-73146,23.615891,81.464027,32000
Aeroflot,AFL,A320,Airbus A320-214,RA-73747,54.878784,38.053955,23350
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73102,53.342781,48.181557,36000
Aeroflot (100 years Livery),AFL,A333,Airbus A330-343,RA-73785,27.468613,55.994568,31250
Aeroflot,AFL,A320,Airbus A320-214,RA-73776,54.012878,39.318455,31150
Aeroflot,AFL,A321,Airbus A321-211,RA-73166,52.498913,53.748726,34025
Aeroflot,AFL,A321,Airbus A321-211,RA-73711,50.625072,42.96851,34150
Aeroflot (Retro Livery),AFL,A320,Airbus A320-214,RA-73753,57.512451,62.492893,30725
Aeroflot,AFL,A333,Airbus A330-343,RA-73789,26.01111,103.086571,33100
Aeroflot,AFL,A320,Airbus A320-214,RA-73179,55.676601,42.74789,36000
Aeroflot,AFL,B738,Boeing 737-8MC,RA-73113,67.886986,103.815308,34025
Aeroflot,AFL,B77W,Boeing 777-3M0(ER),RA-73130,38.685959,35.432899,35000
Aeroflot,AFL,A320,Airbus A320-214,RA-73752,56.753128,60.655777,36000
Aeroflot,AFL,A321,Airbus A321-211,RA-73712,55.435318,60.607292,16300
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73115,46.231026,48.336342,34050
Aeroflot,AFL,A320,Airbus A320-214,RA-73766,51.478962,42.424084,34000
Aeroflot,AFL,A321,Airbus A321-211,RA-73721,46.597767,47.294289,34025
Aeroflot,AFL,A320,Airbus A320-214,RA-73773,55.751137,39.182194,22450
Aeroflot,AFL,A320,Airbus A320-214,RA-73738,55.861855,41.503178,36000
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73108,50.184391,43.37138,35000
Aeroflot,AFL,A320,Airbus A320-214,RA-73744,47.352676,46.052353,36000
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73098,43.682941,40.025227,36225
Aeroflot,AFL,A321,Airbus A321-211,RA-73164,53.652924,53.168648,33050
Aeroflot,AFL,B738,Boeing 737-8MC,RA-73111,56.378998,92.649338,36000
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73109,41.335007,40.798523,38700
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73126,55.65065,52.25547,3000
Aeroflot,AFL,A320,Airbus A320-214,RA-73176,49.053074,45.087925,36000
Aeroflot,AFL,A320,Airbus A320-214,RA-73780,59.758984,28.009762,36000
Aeroflot,AFL,A320,Airbus A320-214,RA-73779,51.317604,44.358185,34025
Aeroflot,AFL,A320,Airbus A320-214,RA-73777,59.699795,37.230518,33000
Aeroflot,AFL,A321,Airbus A321-211,RA-73722,57.747986,49.99807,35025
Aeroflot,AFL,A320,Airbus A320-214,RA-73778,55.903648,38.792294,19075
Aeroflot,AFL,A320,Airbus A320-214,RA-73740,55.977715,37.397888,0
Aeroflot,AFL,A320,Airbus A320-214,RA-73169,55.256824,30.819807,35000
Aeroflot,AFL,A21N,Airbus A321-251NX,RA-73705,62.077744,36.288036,34975
Aeroflot,AFL,A320,Airbus A320-214,RA-73743,53.56115,42.793404,33000
Aeroflot,AFL,A20N,Airbus A320-251N,RA-73732,45.319908,47.521698,33000
Aeroflot,AFL,A321,Airbus A321-211,RA-73709,56.140434,44.032288,34975
Aeroflot,AFL,A320,Airbus A320-214,RA-73767,56.042904,41.372334,35000
Aeroflot,AFL,A320,Airbus A320-214,RA-73748,46.032303,50.649517,34000
Aeroflot,AFL,A320,Airbus A320-214,RA-73755,54.621117,39.282349,33000
Aeroflot,AFL,A320,Airbus A320-214,RA-73764,56.463612,36.158985,27625
Aeroflot,AFL,B738,Boeing 737-8MC,RA-73100,43.868786,40.218746,29975
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73127,41.556244,28.881683,10150
Aeroflot,AFL,A320,Airbus A320-214,RA-73180,59.839405,30.024969,5625
Aeroflot,AFL,B738,Boeing 737-8MC,RA-73106,56.564087,91.629066,16200
Aeroflot,AFL,A321,Airbus A321-211,RA-73707,55.974945,37.393921,0
Aeroflot,AFL,B738,Boeing 737-8MC,RA-73104,55.979954,37.413837,0
Aeroflot (Skyteam livery),AFL,B738,Boeing 737-8LJ,RA-73103,41.264393,28.745758,0
Aeroflot,AFL,A320,Airbus A320-214,RA-73772,55.980194,37.414692,0
Aeroflot,AFL,B738,Boeing 737-8LJ,RA-73116,40.149872,44.401306,0
AeroGuard Flight Training Center,ASI,P28A,Piper Archer III,N294PA,29.861351,-82.404892,8300
AeroGuard Flight Training Center,ASI,P28A,Piper PA-28-181,N901PA,30.682892,-97.676956,0
AeroGuard Flight Training Center,ASI,P28A,Piper Archer III,N329PA,27.583191,-80.768425,2400
Aeroitalia,AEZ,B738,Boeing 737-8HC,YR-HLA,42.873821,15.356206,40000
Aeroitalia,AEZ,B738,Boeing 737-85F,9H-FRA,41.798183,12.266517,0
Aeroitalia,AEZ,AT76,ATR 72-600,YR-ACA,42.868973,13.919358,13050
Aerolineas Argentinas,ARG,A332,Airbus A330-243,LV-KHT,39.138004,-74.754456,27925
Aerolineas Argentinas,ARG,A332,Airbus A330-203,LV-GKP,32.430431,-9.818694,40000
Aerolineas Argentinas,ARG,A332,Airbus A330-202,LV-GHQ,10.327835,-19.354792,36000
Aerolineas Argentinas,ARG,B738,Boeing 737-81D,LV-CXT,-35.37188,-58.137661,17725
Aerolineas Argentinas,ARG,B38M,Boeing 737 MAX 8,LV-GVE,-22.731857,-43.380165,2575
Aerolineas Argentinas,ARG,B38M,Boeing 737 MAX 8,LV-KEI,-41.144123,-60.820313,37000
Aerolineas Argentinas,ARG,B738,Boeing 737-8HX,LV-FUB,-48.863464,-64.346924,38000
Aerolineas Argentinas,ARG,A332,Airbus A330-202,LV-KAO,-19.03088,-64.455292,34000
Aerolineas Argentinas,ARG,B738,Boeing 737-8SH,LV-GGK,-34.597485,-58.34753,1175
Aerolineas Argentinas,ARG,E190,Embraer E190AR,LV-CIF,-38.883308,-61.113873,28000
Aerolineas Argentinas,ARG,B38M,Boeing 737 MAX 8,LV-GVD,-25.904434,-46.402466,37000
Aerolineas Argentinas,ARG,B737,Boeing 737-76N,LV-BZO,-27.810354,-63.477524,40000
Aerolineas Argentinas,ARG,B738,Boeing 737-8SH,LV-GUB,-44.40509,-62.18314,38000
Aerolineas Argentinas,ARG,B738,Boeing 737-8BK,LV-FSK,-39.443481,-67.084785,38000
Aerolineas Argentinas,ARG,B38M,Boeing 737 MAX 8,LV-KEJ,-24.31805,-52.432976,36000
Aerolineas Argentinas,ARG,B738,Boeing 737-86J,LV-FQC,-50.277489,-72.008255,1275
Aerolineas Argentinas,ARG,B738,Boeing 737-887,LV-GVA,-29.975172,-62.082039,38000
Aerolineas Argentinas (SkyTeam Livery),ARG,E190,Embraer E190AR,LV-FPS,-34.578865,-58.379955,550
Aerolineas Argentinas,ARG,B737,Boeing 737-76N,LV-CBF,-32.294453,-64.929314,36000
Aerolineas Argentinas,ARG,B38M,Boeing 737 MAX 8,LV-HKV,-30.334696,-52.54409,39000
Aerolineas Argentinas,ARG,B738,Boeing 737-8SH,LV-FVM,-43.880699,-66.051437,39000
Aerolineas Argentinas,ARG,B738,Boeing 737-887,LV-GVB,-49.601456,-66.67395,37000
Aerolineas Argentinas,ARG,E190,Embraer E190AR,LV-CET,-29.563362,-62.259624,36000
Aerolineas Argentinas,ARG,E190,Embraer E190AR,LV-CDY,-34.019077,-59.808815,23150
Aerolineas Argentinas,ARG,E190,Embraer E190AR,LV-CIE,-34.596134,-59.065632,7650
Aerolineas Argentinas,ARG,B738,Boeing 737-887,LV-GKT,-28.302317,-64.8293,37000
Aerolineas Argentinas,ARG,B738,Boeing 737-8MB,LV-FYK,-37.476974,-59.417862,36000
Aerolineas Argentinas,ARG,B738,Boeing 737-81D,LV-CXS,-38.64743,-67.153275,39000
Aerolineas Argentinas,ARG,B38M,Boeing 737 MAX 8,LV-KKE,-36.391022,-58.827095,35850
Aerolineas Argentinas,ARG,A332,Airbus A330-202,LV-FVI,-33.521164,-55.82505,41000
Aerolineas Argentinas,ARG,B738,Boeing 737-8SH,LV-GFQ,-32.544296,-58.381908,33525
Aerolineas Argentinas,ARG,E190,Embraer E190AR,LV-CKZ,-34.221802,-61.282158,36000
Aerolineas Argentinas,ARG,E190,Embraer E190AR,LV-CMA,-30.562889,-61.671989,36000
Aerolineas Argentinas,ARG,B738,Boeing 737-81D,LV-FQY,-23.808746,-46.755981,16600
Aerolineas Argentinas,ARG,B738,Boeing 737-8HX,LV-FUA,-49.682922,-72.106613,22350
Aerolineas Argentinas,ARG,E190,Embraer E190AR,LV-CHQ,-34.549404,-58.596134,14475
Aerolineas Argentinas,ARG,B738,Boeing 737-8MB,LV-FXQ,-54.84404,-68.313942,0
Aerolineas Argentinas,ARG,E190,Embraer E190AR,LV-GIK,-34.422081,-58.388885,6350
Aerolíneas Ejecutivas,LET,LJ75,Learjet 75,XA-MBO,23.476593,-100.107323,40000
AeroLogic,BOX,B77L,Boeing 777-F,D-AALN,50.16893,-105.56105,33000
AeroLogic,BOX,B77L,Boeing 777-F6N,D-AALI,19.061279,91.803703,35000
AeroLogic,BOX,B77L,Boeing 777-FZN,D-AALA,41.905289,98.631378,35100
AeroLogic,BOX,B77L,Boeing 777-FZN,D-AALF,41.299667,36.762268,34000
AeroLogic,BOX,B77L,Boeing 777-F6N,D-AALJ,38.613972,88.748627,30100
AeroLogic,BOX,B77L,Boeing 777-F1H,D-AALU,39.029907,41.317688,35000
AeroLogic,BOX,B77L,Boeing 777-FZN,D-AALE,23.033348,82.423553,39000
AeroLogic,BOX,B77L,Boeing 777-FZN,D-AALH,42.522297,31.576323,33000
AeroLogic,BOX,B77L,Boeing 777-FZN,D-AALD,42.130005,-76.465469,33000
AeroLogic,BOX,B77L,Boeing 777-FZN,D-AALC,25.157993,56.277,39000
AeroLogic,BOX,B77L,Boeing 777-F,D-AALK,10.850098,106.540199,6300
Aeromexico,AMX,B788,Boeing 787-8 Dreamliner,N783AM,40.65905,7.4129,40000
Aeromexico,AMX,B788,Boeing 787-8 Dreamliner,N965AM,26.248718,-106.593086,38975
Aeromexico,AMX,B789,Boeing 787-9 Dreamliner,N128AM,42.794151,-17.047348,41000
Aeromexico,AMX,B789,Boeing 787-9 Dreamliner,XA-DHN,53.957489,-13.115414,39000
Aeromexico,AMX,B788,Boeing 787-8 Dreamliner,N966AM,57.584698,-151.211121,38000
Aeromexico (Quetzalcoatl Livery),AMX,B789,Boeing 787-9 Dreamliner,XA-ADL,17.499359,-99.769638,40000
Aeromexico,AMX,B789,Boeing 787-9 Dreamliner,XA-ADG,39.554214,-50.996819,33988
Aeromexico,AMX,B789,Boeing 787-9 Dreamliner,XA-MFG,40.796658,-32.965603,31975
Aeromexico,AMX,B38M,Boeing 737 MAX 8,XA-DAQ,19.425982,-99.080338,0
Aeromexico,AMX,B39M,Boeing 737 MAX 9,XA-HSB,19.830734,-99.143127,19875
Aeromexico,AMX,B38M,Boeing 737 MAX 8,XA-DAI,19.42226,-99.082024,0
Aeromexico,AMX,B738,Boeing 737-852,XA-AMA,20.429264,-96.674644,38000
Aeromexico,AMX,B738,Boeing 737-852,XA-AMC,19.430752,-99.075714,0
Aeromexico,AMX,B38M,Boeing 737 MAX 8,N109JS,36.584381,-80.072365,30000
Aeromexico,AMX,B738,Boeing 737-852,N957AM,19.421127,-99.09623,7200
Aeromexico,AMX,B738,Boeing 737-852,XA-AMU,20.522758,-103.302902,0
Aeromexico,AMX,B39M,Boeing 737 MAX 9,XA-MJJ,23.5448,-104.328819,32000
Aeromexico,AMX,B38M,Boeing 737 MAX 8,EI-GZA,19.309542,-91.727951,37000
Aeromexico,AMX,B738,Boeing 737-852,XA-AMN,25.328934,-99.616341,21200
Aeromexico,AMX,B38M,Boeing 737 MAX 8,XA-MAY,16.503113,-95.21981,37000
Aeromexico,AMX,B39M,Boeing 737 MAX 9,N115AM,20.395327,-103.013702,8675
Aeromexico,AMX,B738,Boeing 737-86J,N368AR,21.850067,-100.655838,38000
Aeromexico,AMX,B39M,Boeing 737 MAX 9,XA-MKJ,19.291992,-99.178276,10400
Aeromexico,AMX,B38M,Boeing 737 MAX 8,XA-DAP,20.436106,-92.73909,39000
Aeromexico,AMX,B38M,Boeing 737 MAX 8,XA-DAH,25.463934,-85.819443,34000
Aeromexico,AMX,B738,Boeing 737-852,XA-ZAM,13.11721,-88.361252,36000
Aeromexico,AMX,B738,Boeing 737-852,XA-AML,19.392609,-99.440643,29575
Aeromexico,AMX,B38M,Boeing 737 MAX 8,XA-GNS,19.651142,-98.529083,19475
Aeromexico,AMX,B789,Boeing 787-9 Dreamliner,N446AM,40.801163,-9.265259,33600
Aeromexico,AMX,B38M,Boeing 737 MAX 8,XA-DAT,18.634628,-94.663147,33000
Aeromexico,AMX,B38M,Boeing 737 MAX 8,XA-MFM,21.43396,-100.56485,38000
Aeromexico,AMX,B738,Boeing 737-852,XA-DRC,25.4401,-103.610298,41000
Aeromexico,AMX,B788,Boeing 787-8 Dreamliner,N782AM,49.457382,-2.866275,36000
Aeromexico,AMX,B738,Boeing 737-8JP,XA-OCB,19.42292,-99.079025,0
Aeromexico,AMX,B738,Boeing 737-852,N958AM,21.241972,-100.022484,38000
Aeromexico,AMX,B38M,Boeing 737 MAX 8,XA-DAE,22.6875,-99.877609,36000
Aeromexico,AMX,B738,Boeing 737-852,XA-AMM,22.194672,-102.877876,31825
Aeromexico,AMX,B738,Boeing 737-852,XA-AMJ,24.330992,-106.343513,29925
Aeromexico,AMX,B788,Boeing 787-8 Dreamliner,N964AM,52.668549,3.877232,20775
Aeromexico,AMX,B38M,Boeing 737 MAX 8,EI-GZC,20.831085,-89.739517,38000
Aeromexico,AMX,B39M,Boeing 737 MAX 9,N867AM,19.546539,-98.887543,12050
Aeromexico,AMX,B38M,Boeing 737 MAX 8,EI-GZE,20.515106,-96.152695,36975
Aeromexico (Pride Livery),AMX,B38M,Boeing 737 MAX 8,XA-MAQ,31.390091,-106.386108,14425
Aeromexico,AMX,B38M,Boeing 737 MAX 8,XA-CCN,4.698517,-74.149628,0
Aeromexico,AMX,B738,Boeing 737-8JP,XA-EBN,20.933819,-89.662064,0
Aeromexico,AMX,B738,Boeing 737-852,N845AM,28.665798,-110.480774,21550
Aeromexico,AMX,B789,Boeing 787-9 Dreamliner,XA-ADC,-23.429729,-46.479187,0
Aeromexico,AMX,B789,Boeing 787-9 Dreamliner,XA-ADH,19.424309,-99.081535,0
Aeromexico Connect,SLI,E190,Embraer E190LR,XA-GAI,19.431801,-99.07383,0
Aeromexico Connect,SLI,E190,Embraer E190LR,XA-EAC,19.391373,-99.149162,8325
Aeromexico Connect,SLI,E190,Embraer E190LR,XA-ALW,18.721985,-98.360008,22650
Aeromexico Connect,SLI,E190,Embraer E190AR,XA-AEH,22.885801,-102.692436,0
Aeromexico Connect,SLI,E190,Embraer E190AR,XA-GAR,24.245569,-103.052223,32000
Aeromexico Connect,SLI,E190,Embraer E190LR,XA-AEM,20.988636,-101.47583,0
Aeromexico Connect,SLI,E190,Embraer E190LR,XA-AEP,20.780365,-99.553688,34200
Aeromexico Connect,SLI,E190,Embraer E190AR,XA-GAG,20.730177,-100.315216,33375
Aeromexico Connect,SLI,E190,Embraer E190AR,XA-AEN,19.748245,-98.790436,18025
Aeromexico Connect,SLI,E190,Embraer E190LR,XA-ACS,19.527826,-99.23925,12725
Aeromexico Connect,SLI,E190,Embraer E190AR,XA-ALZ,20.064743,-99.012611,16600
Aeromexico Connect,SLI,E190,Embraer E190LR,XA-HAC,20.899567,-98.810005,31675
Aeromexico Connect,SLI,E190,Embraer E190LR,XA-ALL,18.796909,-98.770935,18450
Aeromexico Connect,SLI,E190,Embraer E190LR,XA-GAE,20.392906,-98.890984,29825
Aeromexico Connect,SLI,E190,Embraer E190LR,XA-ALU,23.150986,-106.076546,6000
Aeromexico Connect,SLI,E190,Embraer E190LR,XA-ACE,30.201862,-97.662193,0
Aeronaves TSM,VTM,B734,Boeing 737-484(SF),XA-UGJ,20.930456,-89.661224,0
Aeronaves TSM,VTM,B734,Boeing 737-4Q8(SF),XA-VFJ,24.506123,-107.365547,8275
Aeronaves TSM (MercadoLibre livery),VTM,B734,Boeing 737-476(SF),XA-VEV,28.825333,-110.927368,13825
Aeropartner,DFC,C56X,Cessna 560XL Citation XLS+,OK-WND,48.084877,16.872677,41450
Aeropartner,DFC,C56X,Cessna 560XL Citation XLS+,OK-BIZ,49.9991,10.146958,37600
Aerostan,BSC,B742,Boeing 747-251B(SF),EX-47002,31.003693,104.667557,37100
Aerotec,AEP,C172,Reims Cessna F172N Skyhawk II,EC-HQQ,40.369282,-3.763449,1900
Aerotranscargo,ATG,B744,Boeing 747-412(BDSF),ER-BAJ,23.016312,83.272957,37000
Aerotranscargo,ATG,B744,Boeing 747-412F,ER-BBJ,25.188766,46.940968,15000
AeroUnion,TNO,B762,Boeing 767-241(ER)(BDSF),XA-EFR,33.948978,-118.413628,0
AeroUnion,TNO,A306,Airbus A300B4-605R(F),XA-UYR,24.122345,-82.521523,32975
Aerovias DAP,DAP,RJ1H,Avro RJ100,CC-ATI,-43.703339,-72.713394,32000
Aerus,RFD,C208,Cessna 208B Grand Caravan EX,XA-RFH,18.668331,-94.763123,9750
Aerus,RFD,C208,Cessna 208B EX Caravan I,XA-RFE,26.523834,-100.213501,9700
Africa Charter Airline,FSK,B733,Boeing 737-3U3,ZS-TFY,-33.483387,19.690849,25425
Africa World Airlines,AFW,E145,Embraer ERJ-145LI,9G-AET,6.052348,-0.230567,15250
Afrijet,ABS,AT76,ATR 72-600,TR-ABX,1.485626,9.443447,16000
Afriqiyah Airways,AAW,A320,Airbus A320-214,5A-ONA,34.732765,25.287437,35950
Afriqiyah Airways,AAW,A333,Airbus A330-302,5A-ONQ,41.266937,28.734772,0
Air Albania,ABN,A320,Airbus A320-232,ZA-MMK,45.113865,9.005239,8800
Air Algerie,DAH,A332,Airbus A330-202,7T-VJA,36.623623,6.451721,38000
Air Algerie,DAH,A332,Airbus A330-202,7T-VJB,34.659924,22.811966,39975
Air Algerie,DAH,B738,Boeing 737-8D6,7T-VKG,41.265965,28.738783,0
Air Algerie,DAH,A332,Airbus A330-202,7T-VJC,57.214394,-15.97086,37992
Air Algerie,DAH,B738,Boeing 737-8D6,7T-VKI,49.865219,2.121104,36000
Air Algerie,DAH,B738,Boeing 737-8D6,7T-VKE,36.901352,3.378356,4775
Air Algerie,DAH,B737,Boeing 737-7D6C,7T-VKT,48.540619,3.199768,30025
Air Algerie,DAH,B737,Boeing 737-7D6C,7T-VKS,33.124878,26.715509,38000
Air Algerie,DAH,B738,Boeing 737-8D6,7T-VKR,38.938759,2.133606,35000
Air Algerie,DAH,B736,Boeing 737-6D6,7T-VJQ,43.279816,5.269477,37000
Air Algerie,DAH,B738,Boeing 737-8D6,7T-VKN,39.711758,-0.093079,39000
Air Algerie,DAH,B738,Boeing 737-8D6,7T-VKD,43.971428,3.02621,37000
Air Algerie,DAH,B738,Boeing 737-8D6,7T-VKJ,46.897099,1.802462,35000
Air Algerie,DAH,B738,Boeing 737-8D6,7T-VKM,46.925541,2.825458,31000
Air Algerie,DAH,B738,Boeing 737-8D6,7T-VKP,40.616913,-3.15033,18275
Air Algerie,DAH,AT76,ATR 72-600,7T-VUT,36.629013,2.403946,11350
Air Algerie,DAH,B738,Boeing 737-8D6,7T-VKK,36.696255,3.200864,0
Air Algerie,DAH,AT75,ATR 72-500,7T-VUP,36.896988,4.066577,10100
Air Alsie,MMD,PC12,Pilatus PC-12 NG,OY-VLT,53.724976,17.439775,27000
Air Arabia,ABY,A320,Airbus A320-214,A6-ANQ,40.163177,33.871704,38000
Air Arabia,ABY,A21N,Airbus A321-251NX,A6-ATB,24.245243,57.402996,25125
Air Arabia,ABY,A320,Airbus A320-214,A6-AOR,23.970428,90.282692,1750
Air Arabia,ABY,A320,Airbus A320-214,CN-NMJ,36.231327,-5.823397,9950
Air Arabia,ABY,A320,Airbus A320-214,A6-AUK,23.205685,88.699287,27350
Air Arabia,ABY,A21N,Airbus A321-251NX,A6-ATD,22.942062,88.534775,36100
Air Arabia,ABY,A320,Airbus A320-214,SU-AAF,29.1064,38.210976,29975
Air Arabia,ABY,A320,Airbus A320-214,A6-AOC,24.548717,39.709202,1975
Air Arabia,ABY,A320,Airbus A320-214,A6-ANR,21.539766,39.366657,4075
Air Arabia,ABY,A320,Airbus A320-214,A6-ANM,25.410919,55.542095,4825
Air Arabia,ABY,A320,Airbus A320-214,CN-NMH,33.927387,-4.97911,0
